事業所番号,サービス種類,法人名称,事業所名,郵便番号,事業所所在地,電話番号,FAX番号,行政区
2670100193,訪問介護,株式会社ニチイ学館,ニチイケアセンター北山,6038166,北区紫野上御所田町67番地1WALK　BLDG　1階,494-2620,494-2621,北区
2670100011,訪問介護,京都生活協同組合,京都生活協同組合福祉事業部ホームヘルプサービスセンター,6038352,北区平野宮北町35番地,465-0684,467-0330,北区
2670100052,訪問介護,有限会社ホームケア衣笠,有限会社ホームケア衣笠,6038344,北区等持院南町３０番地の２,461-7398,461-7399,北区
2670100631,訪問介護,社会福祉法人七野会,在宅ケアセンター新大宮,6038206,北区紫竹西南町65番地34たいほう3階,492-3979,492-3983,北区
2670100714,訪問介護,株式会社スマイルケア,ケアステーション　スマイル,6038146,北区鞍馬口通寺町西入新御霊口町262番地4,213-5355,213-5359,北区
2670100730,訪問介護,有限会社アカザワ,ヘルパーステーション京都しんらい,6038172,北区小山初音町１0番地3,495-7177,495-7178,北区
2610105278,訪問介護,医療法人社団都会,医療法人社団都会渡辺西賀茂診療所ホームヘルプステーションであい,6038832,北区大宮南田尻町５９番地,493-2129,493-5584,北区
2670100771,訪問介護,株式会社ひなたぼっこ,訪問介護　ひなたぼっこ,6038206,北区紫竹西南町67番地20,634-4871,334-5497,北区
2670100755,訪問介護,有限会社オハナ,オハナきたケアセンター,6038157,北区紫野宮東町１０番地１船越ビル２階,411-0207,411-0209,北区
2670100821,訪問介護,社会福祉法人七野会,金閣こぶしの里ヘルパーステーション,6038364,北区平野桜木町７－３－２,466-2274,466-2275,北区
2670100847,訪問介護,社会福祉法人京都福祉サービス協会,社会福祉法人京都福祉サービス協会北事務所,6038166,北区紫野上御所田町９番地１,494-2955,494-2951,北区
2670100953,訪問介護,株式会社都精舎,訪問介護事業所　サンライズ,6038165,北区紫野西御所田町24番地1,492-7772,492-7773,北区
2670101084,訪問介護,京都高齢者生活協同組合くらしコープ,訪問介護ゆず,6038228,北区紫野東舟岡町２７番地１５,417-5161,417-5162,北区
2670101134,訪問介護,株式会社サクセスフルエイジング,訪問介護まごのて北山,6038203,北区紫竹東高縄町51番地4,284-0370,284-0371,北区
2670101233,訪問介護,合同会社ハンドトゥハンド,ケアステーションりぼん,6038235,北区紫野下御輿町28番地1創彩ビル４階,493-2207,493-2210,北区
2670101274,訪問介護,合同会社やまねっと,ケアネットキティ　訪問介護,6038035,北区上賀茂朝露ケ原町27-2アクアエルフ上賀茂101号,755-9546,755-6303,北区
2670101290,訪問介護,特定非営利活動法人おおみやぼくじょう,おおみやぼくじょう,6038842,北区西賀茂今原町55,495-3000,495-3030,北区
2670101324,訪問介護,合同会社雅,スマイルサポート　雅,6038225,北区紫野南舟岡町80番地37,366-3985,366-3985,北区
2670101415,訪問介護,合同会社ファミリア,トータルケア　ファミリア,6038213,北区紫野下石龍町27番地17,354-6760,354-6761,北区
2670101431,訪問介護,医療法人三幸会,医療法人三幸会生活サポートセンター・ヘルパーステーションきたやま,6038151,北区小山下総町5番地の1部落解放センター１階,411-9055,411-9056,北区
2670101449,訪問介護,株式会社永遠,訪問介護 とわ,6038161,北区小山北大野町58番地グリーンヒル北大路103号室,406-5643,406-5642,北区
2670101464,訪問介護,株式会社サクセスフルエイジング,訪問介護まごのて西賀茂,6038812,北区西賀茂山ノ森町29番地,280-3600,280-3601,北区
2670101498,訪問介護,合同会社暮らしの支援研究舎港,訪問介護事業所　暮らしの支援研究舎　港,6038224,北区紫野西藤ノ森町4番地の5プチフレーズ１F,441-3710,441-3711,北区
2670101514,訪問介護,日本ケアサポート株式会社,すずめのお宿ヘルパーステーション,6038225,北区紫野南舟岡町72-1,467-2001,467-2007,北区
2670101522,訪問介護,株式会社ミチテラス,訪問介護仙寿,6038217,北区紫野上門前町66番地,204-0039,204-9360,北区
2670101548,訪問介護,株式会社ニチイ学館,ニチイケアセンター御薗橋,6038407,北区大宮北林町4番地長谷川ビル１階,494-5453,491-8854,北区
2670101407,訪問介護,グリーンライフ株式会社,訪問介護まごのて衣笠,6038341,北区小松原北町19番地27シャルム小松原1階,284-1234,280-1235,北区
2660190196,訪問介護,ファミリー・ホスピス株式会社,訪問介護ファミリー・ホスピス京都北山,6038056,北区上賀茂石計町74番地の1,366-4565,366-4332,北区
2670101571,訪問介護,株式会社喜久一,ケアステーション　こむぎ,6038443,北区紫竹西野山町44番地９,491-5631,491-5632,北区
2670101589,訪問介護,株式会社Ｄｅａｒ　ｆａｍ,訪問介護まごのて金閣寺,6038316,北区衣笠北荒見町5番地1,284-0615,284-0616,北区
2670101605,訪問介護,合同会社ケアオフィス茶碗と箸,ケアオフィス茶碗と箸,6038424,北区紫竹下芝本町23番地1　アルカスNext北山1－A,494-0511,494-0512,北区
2660190212,訪問介護,合同会社ベーシック,ヘルパーステーションれん,6038452,北区衣笠開キ町27-2,468-9691,432-8946,北区
2670101613,訪問介護,株式会社コロン,訪問介護レオス,6038838,北区大宮田尻町80番地シャンクレール春日Ⅰ102号室,334-5646,334-5647,北区
2670101654,訪問介護,株式会社浅野企画,訪問介護　なお,6038362,北区衣笠馬場町48番地1グランデュール金閣103,334-6605,334-6606,北区
2670101670,訪問介護,レヴィ合同会社,アイリース,6038447,北区鷹峯木ノ畑町89番地　プレステージ北山103,491-5677,491-5678,北区
2670101662,訪問介護,株式会社たくみ,ヘルパーステーション　スイート北山,6038084,北区上賀茂土門町4番地3エルメスハイツ１階,366-4407,366-4408,北区
2670101688,訪問介護,株式会社いろはコーポレーション,ヘルパーステーション　いろは,6038313,北区紫野下柏野町２２番地２３,334-6760,334-6761,北区
2670601562,訪問介護,株式会社シクテン,ケアステーション　エベ,6038027,北区上賀茂津ノ国町46番地１セジュール津ノ国B101号室,202-4793,201-3465,北区
2670101720,訪問介護,株式会社ＤＤＳ,訪問介護　くるりす,6038455,北区衣笠東尊上院町16番地1イースタン尊上院102,406-0810,406-0815,北区
2670101753,訪問介護,株式会社都季,にこにこヘルパーステーション,6038404,北区大宮中林町40番地,201-0019,201-0020,北区
2670101761,訪問介護,合同会社とよ,訪問介護とよさん,6038211,北区紫野上石龍町16番地,492-0633,492-0633,北区
2670101795,訪問介護,株式会社ＲＯＯＴＳ,訪問介護事業所　ナンバーワン西賀茂,6038805,北区西賀茂蟹ケ坂町70番地,493-1330,493-1360,北区
2670101803,訪問介護,株式会社銭形,訪問介護　銭形Ｎ,6038203,北区紫竹東高縄町13番地2,432-8927,432-8928,北区
2670101811,訪問介護,株式会社Ｃｉｒｃｌｅ,訪問介護まごのて紫野,6038224,北区紫野西藤ノ森町4番地28,748-0658,334-5383,北区
2670101837,訪問介護,合同会社Ｃｏｌｏｒ,ヘルパーステーション　Color,6038225,北区紫野南舟岡町15番地2クラスカ西陣415号室,200-1912,203-1964,北区
2670101852,訪問介護,株式会社ＴＦＲ,ケアステーションまるっと,6038371,北区衣笠東御所ノ内町42番地ＣＬＡＳＫＡ衣笠303号室,384-0048,406-1612,北区
2670101886,訪問介護,あなぶきメディカルケア株式会社,あなぶきケアサービス京都　訪問介護事業所,6038105,北区小山西玄以町34番地1,334-6050,334-6011,北区
2670100540,訪問入浴介護,アサヒサンクリーン株式会社,アサヒサンクリーン在宅介護センター京都北,6038134,北区出雲路立テ本町７,050-3317-7341,254-1927,北区
2670101381,訪問入浴介護,社会福祉法人七野会,原谷こぶしの里訪問入浴サービス,6038488,北区大北山長谷町5番地36,463-7664,278-8488,北区
2610103638,訪問看護,,医療法人社団余診療所,6038246,北区紫野西泉堂町３,491-8222,492-7137,北区
2610103315,訪問看護,医療法人　葵会　,医療法人葵会上賀茂診療所,6038077,北区上賀茂藤ノ木町２１,781-1409,701-8444,北区
2610102093,訪問看護,医療法人　葵会　,医療法人葵会かも川診療所,6038135,北区出雲路俵町１５,231-3803,231-3853,北区
2660190022,訪問看護,医療法人　葵会　,医療法人葵会総合ケアステーション,6038206,北区紫竹西南町６５番地の３４,495-2241,495-2242,北区
2610103943,訪問看護,医療法人伊吹医院,医療法人伊吹医院,6038205,北区紫竹西高縄町９５,492-5732,493-3368,北区
2610104164,訪問看護,医療法人臼井医院,医療法人臼井医院,6038225,北区紫野南舟岡町７８－１５,415-2221,,北区
2610103778,訪問看護,医療法人社団竹中医院,医療法人社団竹中医院,6038166,北区紫野上御所田町２４,491-7984,491-7985,北区
